Id,MSSubClass,LotArea,LotConfig,OverallQual,LotFrontage,Neighborhood,OverallCond,BedroomAbvGr,TotRmsAbvGrd,TotalBsmtSF,YearBuilt,SalePrice
47,50,12822,CulDSac,7,48.0,Mitchel,5,1,6,1434,2003,239.686
48,20,11096,Inside,8,84.0,Somerst,5,3,7,1656,2006,249.7
50,20,7742,Inside,5,66.0,Sawyer,7,3,6,955,1966,127.0
51,60,13869,Corner,6,,Gilbert,6,3,6,794,1997,177.0
52,50,6240,Inside,6,52.0,BrkSide,6,3,6,816,1934,114.5
53,90,8472,Corner,5,110.0,IDOTRR,5,2,5,816,1963,110.0
55,80,7134,Inside,5,60.0,NAmes,5,3,6,384,1955,130.0
56,20,10175,Inside,6,100.0,NAmes,5,3,7,1425,1964,180.5
57,160,2645,Inside,8,24.0,Somerst,5,3,7,970,1999,172.5
58,60,11645,Corner,7,89.0,CollgCr,5,3,7,860,2004,196.5
60,20,7200,Inside,5,60.0,CollgCr,7,2,4,780,1972,124.9
61,20,13072,Inside,6,63.0,SawyerW,5,3,5,1158,2004,158.0
62,75,7200,Inside,5,60.0,IDOTRR,7,3,6,530,1920,101.0
63,120,6442,Inside,8,44.0,NridgHt,5,2,6,1370,2006,202.5
64,70,10300,Inside,7,50.0,OldTown,6,3,9,576,1921,140.0
65,60,9375,Inside,7,,CollgCr,5,3,8,1057,1997,219.5
66,60,9591,Inside,8,76.0,NridgHt,5,4,9,1143,2004,317.0
67,20,19900,Inside,7,,NAmes,5,3,7,1947,1970,180.0
68,20,10665,Inside,7,72.0,CollgCr,5,3,7,1453,2003,226.0
69,30,4608,Corner,4,47.0,OldTown,6,2,4,747,1945,80.0
70,50,15593,Corner,7,81.0,ClearCr,4,3,7,1304,1953,225.0
71,20,13651,Inside,7,95.0,NAmes,6,3,8,2223,1973,244.0
72,20,7599,Corner,4,69.0,Mitchel,6,2,4,845,1982,129.5
73,60,10141,Corner,7,74.0,Gilbert,5,3,7,832,1998,185.0
74,20,10200,Inside,5,85.0,NAmes,7,3,6,1086,1954,144.9
75,50,5790,Corner,3,60.0,OldTown,6,3,8,840,1915,107.4
76,180,1596,Inside,4,21.0,MeadowV,5,2,5,462,1973,91.0
77,20,8475,Inside,4,,NAmes,7,2,4,952,1956,135.75
78,50,8635,Inside,5,50.0,BrkSide,5,2,6,672,1948,127.0
79,90,10778,Inside,4,72.0,Sawyer,5,4,8,1768,1968,136.5
80,50,10440,Corner,5,60.0,OldTown,6,2,5,440,1910,110.0
81,60,13000,Corner,6,100.0,NAmes,6,4,8,896,1968,193.5
82,120,4500,FR2,6,32.0,Mitchel,5,2,5,1237,1998,153.5
83,20,10206,Inside,8,78.0,Somerst,5,3,6,1563,2007,245.0
84,20,8892,Inside,5,80.0,NAmes,5,3,6,1065,1960,126.5
85,80,8530,Inside,7,,Gilbert,5,3,7,384,1995,168.5
86,60,16059,Corner,8,121.0,NoRidge,5,4,9,1288,1991,260.0
87,60,11911,Inside,6,122.0,Gilbert,5,3,6,684,2005,174.0
88,160,3951,Corner,6,40.0,Somerst,5,2,4,612,2009,164.5
90,20,8070,Inside,4,60.0,CollgCr,5,3,5,990,1994,123.6
91,20,7200,Inside,4,60.0,NAmes,5,2,4,0,1950,109.9
92,20,8500,Inside,5,85.0,NAmes,3,2,6,1235,1961,98.6
93,30,13360,Inside,5,80.0,Crawfor,7,2,5,876,1921,163.5
95,60,9337,Inside,6,69.0,CollgCr,5,3,7,824,1997,204.75
96,60,9765,Corner,6,,Gilbert,8,3,6,680,1993,185.0
97,20,10264,Inside,7,78.0,CollgCr,5,3,6,1588,1999,214.0
98,20,10921,Inside,4,73.0,Edwards,5,3,6,960,1965,94.75
99,30,10625,Corner,5,85.0,Edwards,5,2,5,458,1920,83.0
100,20,9320,Inside,4,77.0,NAmes,5,3,6,950,1959,128.95
101,20,10603,Inside,6,,NWAmes,7,3,6,1610,1977,205.0
102,60,9206,Inside,6,77.0,SawyerW,5,3,7,741,1985,178.0
103,90,7018,Inside,5,64.0,SawyerW,5,4,8,0,1979,118.964
104,20,10402,Corner,7,94.0,CollgCr,5,3,6,1226,2009,198.9
105,50,7758,Corner,7,,IDOTRR,4,4,7,1040,1931,169.5
106,60,9375,Inside,8,75.0,Somerst,5,3,9,1053,2003,250.0
107,30,10800,Inside,4,60.0,OldTown,7,2,6,641,1885,100.0
108,20,6000,Inside,5,50.0,OldTown,5,2,5,789,1948,115.0
109,50,8500,Corner,5,85.0,IDOTRR,7,3,7,793,1919,115.0
110,20,11751,Inside,6,105.0,NWAmes,6,3,7,1844,1977,190.0
111,50,9525,Inside,6,75.0,Edwards,4,4,7,994,1954,136.9
112,80,7750,Inside,7,,Gilbert,5,3,7,384,2000,180.0
113,60,9965,Inside,7,77.0,CollgCr,5,4,10,1264,2007,383.97
114,20,21000,Corner,6,,Crawfor,5,3,7,1809,1953,217.0
115,70,7259,Inside,6,61.0,Crawfor,8,3,9,1028,1945,259.5
116,160,3230,Corner,6,34.0,Somerst,5,2,5,729,1999,176.0
117,20,11616,Inside,5,,Sawyer,5,3,6,1092,1962,139.0
118,20,8536,Corner,5,74.0,Edwards,5,2,5,1125,2006,155.0
119,60,12376,Corner,7,90.0,SawyerW,5,5,11,1673,1990,320.0
120,60,8461,Inside,6,65.0,CollgCr,5,3,8,728,2005,163.99
121,80,21453,CulDSac,6,,ClearCr,5,1,4,938,1969,180.0
122,50,6060,Inside,4,50.0,IDOTRR,5,3,4,732,1939,100.0
123,20,9464,Corner,6,75.0,NAmes,7,3,5,1080,1958,136.0
124,120,7892,Inside,6,55.0,SawyerW,5,2,5,1199,1993,153.9
125,20,17043,CulDSac,6,48.0,NWAmes,5,3,7,1362,1979,181.0
127,120,4928,Inside,6,,NPkVill,5,2,5,1078,1976,128.0
128,45,4388,Inside,5,55.0,OldTown,7,3,5,672,1930,87.0
129,60,7590,Inside,6,69.0,NAmes,5,3,6,660,1966,155.0
130,20,8973,Inside,5,69.0,NAmes,7,3,6,1008,1958,150.0
131,60,14200,Corner,7,88.0,NAmes,6,4,8,924,1966,226.0
132,60,12224,Corner,6,,Gilbert,5,3,7,992,2000,244.0
133,20,7388,Corner,5,75.0,NAmes,6,3,7,1063,1959,150.75
134,20,6853,Inside,8,,Timber,5,2,6,1267,2001,220.0
135,20,10335,Inside,5,78.0,Sawyer,6,3,7,1461,1968,180.0
136,20,10400,Inside,7,80.0,NWAmes,6,3,7,1304,1970,174.0
137,20,10355,Corner,5,,NAmes,5,3,5,1214,1967,143.0
138,90,11070,Inside,7,82.0,Mitchel,5,5,9,1907,1988,171.0
139,60,9066,Inside,8,73.0,CollgCr,5,3,7,1004,1999,230.0
140,60,15426,Inside,6,65.0,CollgCr,5,3,7,928,1997,231.5
141,20,10500,FR2,4,70.0,NAmes,5,3,5,864,1971,115.0
142,20,11645,Inside,7,78.0,CollgCr,5,3,7,1734,2005,260.0
143,50,8520,Corner,5,71.0,NAmes,4,4,6,910,1952,166.0
144,20,10335,Inside,7,78.0,CollgCr,5,3,6,1490,1999,204.0
146,160,2522,Inside,6,24.0,Edwards,5,3,7,970,2004,130.0
147,30,6120,Corner,5,51.0,BrkSide,7,2,5,715,1931,105.0
148,60,9505,CulDSac,7,,Gilbert,5,3,8,884,2001,222.5
149,20,7500,Inside,7,63.0,SawyerW,5,3,6,1080,2004,141.0
150,50,6240,Inside,5,,BrkSide,4,3,7,896,1936,115.0
151,20,10356,Corner,5,120.0,CollgCr,6,3,5,969,1975,122.0
152,20,13891,Inside,8,107.0,NridgHt,5,2,6,1710,2007,372.402
153,60,14803,CulDSac,6,,NWAmes,5,4,8,825,1971,190.0
154,20,13500,Inside,6,,ClearCr,7,1,4,1602,1960,235.0
155,30,11340,Corner,6,84.0,OldTown,5,4,7,1200,1923,125.0
156,50,9600,Corner,6,60.0,Edwards,5,2,5,572,1924,79.0
157,20,7200,Inside,5,60.0,NAmes,7,2,5,0,1950,109.5
158,60,12003,Corner,8,92.0,Timber,5,4,8,774,2009,269.5
159,60,12552,Corner,7,100.0,Somerst,5,3,8,991,2004,254.9
160,60,19378,Corner,7,134.0,Gilbert,5,4,9,1392,2005,320.0
161,20,11120,CulDSac,6,,Veenker,6,3,6,1232,1984,162.5
162,60,13688,Inside,9,110.0,NridgHt,5,3,10,1572,2003,412.5
163,20,12182,Corner,7,95.0,NridgHt,5,3,7,1541,2005,220.0
164,45,5500,Inside,4,55.0,OldTown,6,1,4,882,1956,103.2
165,40,5400,Corner,6,40.0,OldTown,7,3,5,1149,1926,152.0
167,20,10708,Inside,5,,ClearCr,5,2,7,1617,1955,190.0
168,60,10562,Inside,8,86.0,NridgHt,5,3,8,1582,2007,325.624
169,60,8244,Inside,7,62.0,Gilbert,5,3,7,840,2004,183.5
170,20,16669,Corner,8,,Timber,6,2,6,1686,1981,228.0
171,50,12358,Inside,5,,OldTown,6,2,7,720,1941,128.5
173,160,5306,Inside,7,44.0,StoneBr,7,2,5,1064,1987,239.0
174,20,10197,Inside,6,80.0,NAmes,5,3,6,1362,1961,163.0
175,20,12416,Inside,6,47.0,Timber,5,3,7,1606,1986,184.0
176,20,12615,Corner,6,84.0,Edwards,7,4,7,1202,1950,243.0
177,60,10029,Corner,6,97.0,ClearCr,5,4,8,1151,1988,211.0
178,50,13650,Inside,5,,Sawyer,5,4,8,1052,1958,172.5
180,30,8520,Inside,5,60.0,OldTown,6,2,5,968,1923,100.0
181,160,2117,Inside,6,,Somerst,5,3,5,756,2000,177.0
182,70,7588,Inside,7,54.0,Crawfor,6,4,9,793,1920,200.1
183,20,9060,Inside,5,60.0,Edwards,6,3,7,0,1957,120.0
184,50,11426,Inside,7,63.0,OldTown,5,3,6,1362,2003,200.0
185,50,7438,Inside,5,92.0,BrkSide,8,3,5,504,1908,127.0
187,80,9947,CulDSac,7,,Mitchel,5,3,6,1188,1990,173.0
188,50,10410,Inside,5,60.0,OldTown,7,3,8,660,1916,135.0
189,90,7018,Inside,5,64.0,SawyerW,5,2,6,1086,1979,153.337
191,70,10570,Inside,8,70.0,Crawfor,8,3,10,853,1932,315.0
193,20,9017,Inside,7,68.0,CollgCr,5,3,6,1431,1999,192.0
194,160,2522,Inside,7,24.0,Edwards,5,3,7,970,2004,130.0
195,20,7180,Inside,5,60.0,CollgCr,7,3,5,864,1972,127.0
196,160,2280,FR2,6,24.0,NPkVill,6,3,7,855,1976,148.5
197,20,9416,Inside,7,79.0,Somerst,5,3,8,1726,2007,311.872
199,75,5520,Corner,6,92.0,OldTown,6,5,8,755,1912,104.0
200,20,9591,Inside,8,76.0,NridgHt,5,3,7,1713,2004,274.9
201,20,8546,Corner,4,80.0,Edwards,5,2,5,1121,2003,140.0
202,20,10125,Inside,6,75.0,Mitchel,6,3,6,1196,1977,171.5
203,50,7000,Corner,6,50.0,OldTown,6,2,6,617,1924,112.0
204,120,4438,Inside,6,,CollgCr,5,1,3,848,2004,149.0
205,50,3500,Inside,5,50.0,OldTown,7,2,5,720,1947,110.0
206,20,11851,Corner,7,99.0,Gilbert,5,3,5,1424,1990,180.5
207,20,13673,CulDSac,5,40.0,Sawyer,5,3,8,1140,1962,143.9
208,20,12493,Inside,4,,NAmes,5,3,6,1100,1960,141.0
209,60,14364,Inside,7,,SawyerW,5,3,7,1157,1988,277.0
210,20,8250,Inside,6,75.0,NAmes,7,3,6,1092,1964,145.0
211,30,5604,Inside,5,67.0,Edwards,6,2,5,864,1925,98.0
212,20,10420,Corner,6,83.0,Edwards,5,3,6,1212,2009,186.0
213,60,8640,Inside,7,72.0,Somerst,5,3,7,900,2009,252.678
214,20,13568,CulDSac,5,43.0,CollgCr,5,3,5,990,1995,156.0
215,60,10900,FR2,6,,CollgCr,7,3,6,689,1977,161.75
216,20,10011,Inside,5,72.0,NAmes,6,2,6,1070,1957,134.45
217,20,8450,Inside,7,65.0,CollgCr,5,3,8,1436,2004,210.0
218,70,9906,Inside,4,57.0,OldTown,4,3,8,686,1925,107.0
220,120,3010,Inside,7,43.0,Blmngtn,5,2,5,1248,2005,167.24
221,20,8990,Inside,7,73.0,CollgCr,5,2,5,1498,2006,204.9
222,60,8068,Inside,6,,Gilbert,5,4,8,1010,2002,200.0
223,60,11475,Inside,6,85.0,NWAmes,6,3,6,713,1975,179.9
224,20,10500,FR2,4,70.0,NAmes,6,2,4,864,1971,97.0
226,160,1680,Inside,5,21.0,BrDale,5,3,6,630,1971,112.0
227,60,9950,Inside,7,82.0,NoRidge,5,4,9,1203,1995,290.0
228,160,1869,Inside,6,21.0,BrDale,6,2,5,483,1970,106.0
229,20,8521,FR2,5,70.0,Sawyer,5,3,5,912,1967,125.0
230,120,3182,Inside,7,43.0,Blmngtn,5,2,7,1373,2005,192.5
231,20,8760,Inside,6,73.0,NAmes,6,3,6,1194,1959,148.0
233,160,1680,Inside,6,21.0,BrDale,5,2,5,483,1972,94.5
234,20,10650,Corner,5,75.0,CollgCr,6,3,5,894,1976,128.2
235,60,7851,Inside,6,,Gilbert,5,4,8,860,2002,216.5
236,160,1680,Inside,6,21.0,BrDale,3,2,5,483,1971,89.5
237,20,8773,FR2,7,65.0,CollgCr,5,3,6,1414,2004,185.5
238,60,9453,CulDSac,7,,SawyerW,7,3,7,996,1993,194.5
239,20,12030,Inside,8,93.0,NridgHt,5,3,7,1694,2007,318.0
240,50,8741,Inside,6,52.0,Edwards,4,3,7,735,1945,113.0
241,20,9000,Inside,8,75.0,Somerst,5,3,7,1566,2008,262.5
243,50,5000,Corner,5,63.0,OldTown,4,3,6,540,1900,79.0
244,160,10762,Corner,6,75.0,SawyerW,6,3,6,626,1980,120.0
245,60,8880,Inside,7,,SawyerW,5,3,8,948,1994,205.0
246,20,10400,Inside,7,80.0,NWAmes,5,3,6,1845,1988,241.5
248,20,11310,Inside,6,75.0,NAmes,5,2,5,1367,1954,140.0
249,60,11317,Inside,7,72.0,CollgCr,5,3,8,840,2003,180.0
252,120,4750,Inside,8,44.0,Crawfor,5,2,5,1573,2006,235.0
253,60,8366,Inside,6,65.0,SawyerW,5,3,6,798,2004,173.0
254,80,9350,Inside,6,85.0,NAmes,7,3,7,1302,1964,158.0
255,20,8400,Inside,5,70.0,NAmes,6,3,5,1314,1957,145.0
256,60,8738,Inside,7,66.0,Gilbert,5,4,8,975,1999,230.0
257,60,8791,Inside,6,64.0,Somerst,5,3,7,864,2003,207.5
258,20,8814,Inside,7,68.0,CollgCr,5,3,8,1604,2006,220.0
259,60,12435,Inside,7,80.0,CollgCr,5,3,7,963,2001,231.5
260,20,12702,Inside,5,70.0,OldTown,5,2,4,0,1956,97.0
261,80,19296,Corner,6,120.0,NAmes,5,3,6,1362,1962,176.0
262,60,9588,Inside,8,69.0,CollgCr,5,3,10,1482,2007,276.0
263,80,8471,Corner,6,88.0,Sawyer,7,3,6,506,1977,151.0
264,50,5500,Corner,5,50.0,OldTown,7,3,6,926,1929,130.0
265,30,5232,Inside,5,30.0,OldTown,5,2,4,680,1925,73.0
266,20,12090,Inside,6,78.0,NWAmes,6,3,7,1422,1981,175.5
267,60,11207,FR2,6,70.0,Gilbert,5,3,8,802,1997,185.0
268,75,8400,Inside,5,60.0,SWISU,8,4,8,720,1939,179.5
269,30,6900,Inside,5,71.0,IDOTRR,6,2,4,740,1940,120.5
270,20,7917,Corner,6,,Edwards,7,3,6,1143,1976,148.0
271,60,10728,Inside,8,84.0,Somerst,5,3,8,1095,2006,266.0
272,20,39104,CulDSac,7,73.0,ClearCr,7,2,5,1385,1954,241.5
273,60,11764,CulDSac,8,92.0,NoRidge,7,4,9,1152,1999,290.0
274,20,9600,Inside,6,80.0,NAmes,6,3,6,1240,1958,139.0
275,20,8314,Corner,5,76.0,Mitchel,7,2,5,816,1982,124.5
276,50,7264,Inside,7,55.0,BrkSide,7,3,5,952,1925,205.0
277,20,9196,Inside,7,129.0,Mitchel,5,3,7,1560,2003,201.0
279,20,14450,Inside,9,107.0,NridgHt,5,3,8,2121,2006,415.298
280,60,10005,Inside,7,83.0,ClearCr,5,4,8,1160,1977,192.0
281,60,11287,Inside,7,82.0,SawyerW,6,3,7,807,1989,228.5
282,20,7200,Inside,6,60.0,Somerst,5,2,5,1262,2006,185.0
283,120,5063,Inside,7,34.0,NridgHt,5,2,6,1314,2007,207.5
284,20,9612,Inside,8,74.0,Somerst,5,3,6,1468,2008,244.6
285,120,8012,Inside,6,50.0,SawyerW,5,2,5,1575,1992,179.2
286,160,4251,Inside,7,35.0,Somerst,5,2,5,625,2006,164.7
287,50,9786,Inside,6,77.0,NAmes,7,3,7,912,1962,159.0
288,20,8125,Corner,4,,NAmes,4,3,5,858,1971,88.0
289,20,9819,Inside,5,,Sawyer,5,3,5,882,1967,122.0
290,70,8730,Inside,6,60.0,BrkSide,7,3,7,698,1915,153.575
291,60,15611,Inside,8,120.0,CollgCr,5,3,8,1079,2006,233.23
293,50,11409,Inside,5,60.0,Edwards,4,3,8,768,1949,131.0
294,60,16659,Corner,7,,NWAmes,7,3,9,795,1977,235.0
295,20,9600,Inside,6,80.0,NAmes,5,3,7,1416,1953,167.0
296,80,7937,CulDSac,6,37.0,Mitchel,6,3,6,1003,1984,142.5
297,50,13710,Inside,5,75.0,IDOTRR,5,4,6,910,1950,152.0
298,60,7399,Inside,7,66.0,Somerst,5,3,7,975,1997,239.0
299,60,11700,Inside,6,90.0,NWAmes,6,3,7,702,1968,175.0
300,20,14000,Inside,6,80.0,Crawfor,8,3,6,1092,1950,158.5
302,60,16226,Inside,8,66.0,CollgCr,5,4,9,1028,1998,267.0
303,20,13704,Corner,7,118.0,CollgCr,5,3,6,1541,2001,205.0
304,20,9800,Corner,5,70.0,CollgCr,7,3,5,894,1972,149.9
306,20,10386,Inside,8,80.0,CollgCr,5,3,8,2000,2004,305.9
307,60,13474,Inside,7,116.0,SawyerW,5,4,8,700,1990,225.0
308,50,7920,Inside,6,,IDOTRR,7,3,6,319,1920,89.5
309,30,12342,Inside,4,,Edwards,5,1,4,861,1940,82.5
310,20,12378,Inside,9,90.0,NridgHt,5,3,8,1896,2003,360.0
311,60,7685,Inside,6,,Gilbert,5,3,6,697,1993,165.6
312,20,8000,Inside,6,50.0,NAmes,6,2,5,972,1948,132.0
315,70,9600,Inside,7,60.0,OldTown,7,3,6,728,1925,178.0
316,60,7795,Inside,7,71.0,Gilbert,5,3,6,716,2004,188.5
317,60,13005,Corner,7,94.0,NWAmes,7,4,10,845,1980,260.0
318,60,9000,Inside,8,75.0,Somerst,5,3,8,1088,2006,270.0
319,60,9900,Inside,7,90.0,NoRidge,5,4,9,1347,1993,260.0
320,80,14115,Inside,7,,NWAmes,5,3,6,1372,1980,187.5
321,60,16259,Corner,9,111.0,NridgHt,5,4,9,1249,2006,342.643
322,60,12099,Inside,8,99.0,NridgHt,5,4,10,1136,2004,354.0
323,60,10380,Inside,7,86.0,SawyerW,5,4,8,1502,1986,301.0
324,20,5820,Inside,3,49.0,OldTown,8,3,6,1162,1955,126.175
325,80,11275,Corner,7,96.0,NAmes,7,5,11,710,1967,242.0
326,45,5000,Inside,5,50.0,IDOTRR,6,2,5,720,1941,87.0
327,120,10846,CulDSac,8,32.0,Veenker,5,1,6,1719,1993,324.0
328,20,11600,Inside,6,80.0,NAmes,5,3,7,1383,1960,145.25
329,75,11888,Inside,6,,BrkSide,6,5,10,844,1916,214.5
330,70,6402,Corner,5,60.0,IDOTRR,5,3,6,596,1920,78.0
332,20,8176,Inside,5,70.0,NAmes,6,3,6,1056,1958,139.0
334,120,8198,FR3,7,59.0,NridgHt,5,2,6,1358,2004,207.0
335,60,9042,Inside,6,59.0,Gilbert,5,3,7,943,1998,192.0
337,20,14157,Corner,9,86.0,StoneBr,5,3,8,1922,2005,377.426
338,20,9135,Inside,7,70.0,CollgCr,5,3,7,1536,2002,214.0
339,20,14145,Corner,7,91.0,NWAmes,7,3,8,1208,1984,202.5
340,20,12400,Inside,6,66.0,NAmes,7,3,6,1215,1958,155.0
341,60,14191,Inside,8,85.0,Timber,5,4,9,967,2002,202.9
342,20,8400,Inside,4,60.0,SawyerW,4,2,4,721,1950,82.0
343,90,8544,Inside,3,,NAmes,4,2,6,0,1949,87.5
344,120,8849,Inside,9,63.0,NridgHt,5,2,6,1684,2005,266.0
345,160,2592,Inside,5,36.0,MeadowV,3,3,4,536,1976,85.0
346,50,6435,Inside,6,65.0,BrkSide,5,3,6,972,1939,140.2
347,20,12772,CulDSac,6,,NAmes,8,2,5,958,1960,151.5
348,20,17600,Inside,6,,NAmes,5,3,6,1478,1960,157.5
349,160,2448,Inside,7,36.0,NridgHt,5,2,6,764,2003,154.0
351,120,7820,Inside,9,68.0,NridgHt,5,2,6,1869,2007,318.061
352,120,5271,Inside,7,,ClearCr,5,2,6,1453,1986,190.0
353,50,9084,Inside,5,60.0,Edwards,6,3,5,616,1941,95.0
354,30,8520,Inside,6,60.0,OldTown,8,2,5,624,1928,105.9
355,50,8400,Inside,6,60.0,SWISU,5,2,6,940,1940,140.0
356,20,11249,Inside,6,105.0,CollgCr,5,3,6,1200,1995,177.5
357,20,9248,Inside,6,,Gilbert,6,3,6,1158,1992,173.0
358,120,4224,Inside,5,44.0,MeadowV,5,3,6,1142,1976,134.0
359,80,6930,Inside,5,92.0,ClearCr,4,3,6,1062,1958,130.0
360,60,12011,CulDSac,8,78.0,NoRidge,5,3,7,1086,1998,280.0
361,85,7540,CulDSac,6,,Mitchel,6,2,5,888,1978,156.0
362,50,9144,Inside,5,,BrkSide,5,3,8,883,1940,145.0
363,85,7301,Corner,7,64.0,Edwards,5,4,7,0,2003,198.5
364,160,1680,Inside,6,21.0,BrDale,8,2,5,483,1972,118.0
365,60,18800,FR2,6,,NWAmes,5,3,6,796,1976,190.0
366,70,10690,Inside,5,59.0,IDOTRR,7,3,6,672,1920,147.0
367,20,9500,Inside,6,,NAmes,5,3,6,1394,1963,159.0
368,80,9150,Corner,6,101.0,NAmes,5,3,6,1099,1962,165.0
369,20,7800,Inside,5,78.0,NAmes,6,2,7,1268,1954,132.0
370,20,9830,Corner,5,,NAmes,7,3,7,1063,1959,162.0
371,60,8121,Inside,6,,Gilbert,5,3,7,953,2000,172.4
372,50,17120,Inside,4,80.0,ClearCr,4,4,7,0,1959,134.432
373,120,7175,Inside,6,50.0,SawyerW,5,2,4,744,1984,125.0
374,20,10634,Inside,5,79.0,NAmes,6,3,5,608,1953,123.0
375,60,8200,Inside,7,65.0,CollgCr,5,4,8,847,2003,219.5
377,85,8846,CulDSac,5,57.0,CollgCr,5,2,5,870,1996,148.0
378,60,11143,Corner,8,102.0,Somerst,5,4,8,1580,2004,340.0
380,60,8123,Inside,6,60.0,Gilbert,5,3,7,982,2000,179.0
381,50,5000,Inside,5,50.0,SWISU,6,3,6,1026,1924,127.0
382,20,7200,Inside,7,60.0,Somerst,5,2,5,1293,2006,187.75
383,60,9245,Inside,7,79.0,CollgCr,5,3,8,939,2006,213.5
384,45,9000,Corner,6,60.0,SawyerW,3,2,5,784,1928,76.0
386,120,3182,Inside,8,43.0,Blmngtn,5,2,6,1256,2004,192.0
387,50,8410,FR2,5,58.0,Edwards,3,5,8,658,1910,81.0
388,80,7200,Inside,6,72.0,Edwards,6,3,6,1041,1976,125.0
389,20,9382,CulDSac,7,93.0,CollgCr,5,3,6,1468,1999,191.0
391,50,8405,Inside,5,50.0,Edwards,8,4,7,861,1900,119.0
392,60,12209,CulDSac,6,71.0,Mitchel,5,3,7,804,2001,215.0
393,20,8339,Inside,5,,NAmes,7,3,5,0,1959,106.5
394,30,7446,Corner,4,,BrkSide,5,2,4,788,1941,100.0
395,50,10134,Inside,5,60.0,OldTown,6,2,5,735,1940,109.0
396,20,9571,Inside,5,68.0,Edwards,6,3,6,1144,1956,129.0
397,20,7200,Inside,5,60.0,CollgCr,5,2,6,894,1972,123.0
398,60,7590,Inside,5,69.0,NAmes,5,4,8,864,1962,169.5
400,60,8125,Inside,7,65.0,Somerst,5,2,7,1092,2006,241.0
401,120,14963,Inside,8,38.0,Veenker,5,1,4,1260,1996,245.5
402,20,8767,Inside,7,65.0,CollgCr,5,3,6,1310,2005,164.99
403,30,10200,Inside,5,60.0,Sawyer,8,2,4,672,1940,108.0
